image_id,object_size,brightness,contrast,num_objects,detected_prob_baseline,detected_baseline_adj
1,0.35367665723356584,0.3078286279339505,0.8678322243209564,0,0.883303761171093,1
2,0.2485580660782393,0.5968603828004249,0.9156610015004492,1,0.5825347000798037,1
3,0.4159590873381714,0.3352831203365212,1.332040739218776,0,0.9265614357519636,1
4,0.15996757580999196,0.30090862903661214,0.8098397715276783,0,0.6974243413077739,1
5,0.5502830780616322,0.9461165738729342,1.4430488106376202,0,0.9452196399121924,1
6,0.11094528759339801,0.6839600105181634,0.6796338263721408,1,0.6032646552870398,1
7,0.5098966417920571,0.7275920464996675,1.1627224233681779,2,0.37290320020432255,0
8,0.17727037947274454,0.521434936266691,1.1721050670137647,0,0.7059407709425884,1
9,0.19829047191334442,0.9271847135318914,0.7521951614279182,1,0.5926635301578204,1
10,0.37623678821354994,0.7103443916637324,0.824750608967202,1,0.8817390359036437,1
11,0.5434668040445325,0.8153358956188701,1.3347984925799405,2,0.7745544950370629,1
12,0.08476376294265023,0.4948499752221711,1.2618052549549525,1,0.5745093976516823,1
13,0.3579287927839609,0.9680095046553003,0.8290958803147596,1,0.7679351132177045,1
14,0.2733207739503824,0.8563690321266522,1.0339565469349339,2,0.47124269467529306,0
15,0.13437614109485027,0.883158770411635,0.5616802962530955,0,0.6376004036827795,1
16,0.35325485000480755,0.33775541394060343,0.7087458823986292,1,0.682197543058156,1
17,0.13279012143275798,0.4167705662969756,0.9858205588603991,0,0.3905152369535963,0
18,0.32643436842516804,0.4285012797468617,0.5859737352792116,0,0.7220679595938657,1
19,0.1658104012585459,0.416727378597497,1.3433323548919374,0,0.6314691928640004,1
20,0.207734214505591,0.8843265296834304,1.2180062101076479,2,0.7693938693383601,1
21,0.26340848808284784,0.2255078361668737,1.4436336706484947,4,0.32772303576123785,0
22,0.39001433036648914,0.26087999118461946,1.1934669059640273,0,0.6184516410771981,1
23,0.15364547000727538,0.419131896503923,1.4404013722621856,2,0.4579298140169123,0
24,0.30550235119832064,0.35989837971955496,1.0545125556909651,2,0.5661165419579526,1
25,0.203313881265596,0.38548769110627873,1.1002186110619694,0,0.6679810567723197,1
26,0.18387687608823067,0.83835455140264,1.4769710546262609,0,0.8481101149530071,1
27,0.36782408723548077,0.6505012751136375,1.1421291468642605,1,0.7510549605393821,1
28,0.20209676646387698,0.2046165290343744,0.5307865688607466,3,0.29086669640486185,0
29,0.18633950452881945,0.5434582125633562,1.2238027766305233,1,0.6935616894359689,1
30,0.2835202997539891,0.5263079414802871,1.4054686921374158,2,0.6084117671533615,1
31,0.10039930306621214,0.29115621555563487,1.2955802497943267,0,0.6560653614604884,1
32,0.20772938916523406,0.7409134308811658,1.0838332726254225,1,0.5582515776078226,1
33,0.3096377073595142,0.761677750703593,1.1713035130935163,1,0.865161844871461,1
34,0.0443858001226034,0.7767145752416782,1.4901917892516718,2,0.8476493600993416,1
