image_id,object_size,brightness,contrast,num_objects,detected_prob_baseline,object_size_aug,contrast_aug,detected_prob_tuned,detected_tuned_adj
1,0.35367665723356584,0.3078286279339505,0.8678322243209564,0,0.883303761171093,0.4162408174694926,0.9163588292839574,0.8610136271859262,1
2,0.2485580660782393,0.5968603828004249,0.9156610015004492,1,0.5825347000798037,0.303726100388932,1.0123755834311032,0.8015099085872986,1
3,0.4159590873381714,0.3352831203365212,1.332040739218776,0,0.9265614357519636,0.4659004629680456,1.4789468227368343,0.9445587642112198,1
4,0.15996757580999196,0.30090862903661214,0.8098397715276783,0,0.6974243413077739,0.21951006320575017,0.8664882068875944,0.6471172263654325,1
5,0.5502830780616322,0.9461165738729342,1.4430488106376202,0,0.9452196399121924,0.5864492848799839,1.5364051271752128,0.9823213722397991,1
6,0.11094528759339801,0.6839600105181634,0.6796338263721408,1,0.6032646552870398,0.1489448959603188,0.7449480374186819,0.6856447239414125,1
7,0.5098966417920571,0.7275920464996675,1.1627224233681779,2,0.37290320020432255,0.5744470456692365,1.2682943065394083,0.9075889539367608,1
8,0.17727037947274454,0.521434936266691,1.1721050670137647,0,0.7059407709425884,0.20794261428611896,1.2340549358394772,0.8552559991400073,1
9,0.19829047191334442,0.9271847135318914,0.7521951614279182,1,0.5926635301578204,0.28058859043278084,0.7749526850698786,0.6995516650167752,1
10,0.37623678821354994,0.7103443916637324,0.824750608967202,1,0.8817390359036437,0.4508241718851934,0.8630893389802387,0.7300302489666641,1
11,0.5434668040445325,0.8153358956188701,1.3347984925799405,2,0.7745544950370629,0.5705844802720618,1.3789841276358652,0.7101672253950264,1
12,0.08476376294265023,0.4948499752221711,1.2618052549549525,1,0.5745093976516823,0.16427995585137692,1.3242308334920379,0.4648441981838721,0
13,0.3579287927839609,0.9680095046553003,0.8290958803147596,1,0.7679351132177045,0.4109726683799826,0.8673853160611149,0.7870830748692558,1
14,0.2733207739503824,0.8563690321266522,1.0339565469349339,2,0.47124269467529306,0.3510165240977482,1.1205722680519192,0.8280392370527963,1
15,0.13437614109485027,0.883158770411635,0.5616802962530955,0,0.6376004036827795,0.18704467938791935,0.6265260633816458,0.7319357117931128,1
16,0.35325485000480755,0.33775541394060343,0.7087458823986292,1,0.682197543058156,0.39971115249623984,0.7715226047135917,0.602863298976214,1
17,0.13279012143275798,0.4167705662969756,0.9858205588603991,0,0.3905152369535963,0.17716085793177105,1.0968879737701944,0.7917280902420187,1
18,0.32643436842516804,0.4285012797468617,0.5859737352792116,0,0.7220679595938657,0.3274425276673394,0.6436413008377673,0.659267345364838,1
19,0.1658104012585459,0.416727378597497,1.3433323548919374,0,0.6314691928640004,0.23435246057517795,1.4679771580027774,0.9079276517995364,1
20,0.207734214505591,0.8843265296834304,1.2180062101076479,2,0.7693938693383601,0.24359220278806676,1.292799335764708,0.6871140281882847,1
21,0.26340848808284784,0.2255078361668737,1.4436336706484947,4,0.32772303576123785,0.3326049671376952,1.5193947720989742,0.4841172264534518,1
22,0.39001433036648914,0.26087999118461946,1.1934669059640273,0,0.6184516410771981,0.47349349255981027,1.31833664781457,0.8404296966960827,1
23,0.15364547000727538,0.419131896503923,1.4404013722621856,2,0.4579298140169123,0.19209432951681515,1.599622365222213,0.6163186446654206,1
24,0.30550235119832064,0.35989837971955496,1.0545125556909651,2,0.5661165419579526,0.34276999877943837,1.1232543831299695,0.709837545495837,1
25,0.203313881265596,0.38548769110627873,1.1002186110619694,0,0.6679810567723197,0.2734697526883889,1.1232201222130915,0.7938095641366444,1
26,0.18387687608823067,0.83835455140264,1.4769710546262609,0,0.8481101149530071,0.22452594513057472,1.623565019108502,0.9392548609457253,1
27,0.36782408723548077,0.6505012751136375,1.1421291468642605,1,0.7510549605393821,0.4441690060384345,1.1975302729581658,0.7679141440142914,1
28,0.20209676646387698,0.2046165290343744,0.5307865688607466,3,0.29086669640486185,0.238272833928938,0.5419271348325304,0.16661643280618332,0
29,0.18633950452881945,0.5434582125633562,1.2238027766305233,1,0.6935616894359689,0.26510372005444716,1.346793555526212,0.5757003011564997,1
30,0.2835202997539891,0.5263079414802871,1.4054686921374158,2,0.6084117671533615,0.32740556112137387,1.5062990103051468,0.8053160318303096,1
31,0.10039930306621214,0.29115621555563487,1.2955802497943267,0,0.6560653614604884,0.15700426485291263,1.4102664057805083,0.8139413018954113,1
